Ticker,Fund Name,Date,NAV
SPY,SPDR S&P 500 ETF,2025-06-13 00:00:00-04:00,595.24
SPY,SPDR S&P 500 ETF,2025-06-16 00:00:00-04:00,600.90
SPY,SPDR S&P 500 ETF,2025-06-17 00:00:00-04:00,595.77
SPY,SPDR S&P 500 ETF,2025-06-18 00:00:00-04:00,595.68
SPY,SPDR S&P 500 ETF,2025-06-20 00:00:00-04:00,594.28
SPY,SPDR S&P 500 ETF,2025-06-23 00:00:00-04:00,600.15
SPY,SPDR S&P 500 ETF,2025-06-24 00:00:00-04:00,606.78
SPY,SPDR S&P 500 ETF,2025-06-25 00:00:00-04:00,607.12
SPY,SPDR S&P 500 ETF,2025-06-26 00:00:00-04:00,611.87
SPY,SPDR S&P 500 ETF,2025-06-27 00:00:00-04:00,614.91
SPY,SPDR S&P 500 ETF,2025-06-30 00:00:00-04:00,617.85
SPY,SPDR S&P 500 ETF,2025-07-01 00:00:00-04:00,617.65
SPY,SPDR S&P 500 ETF,2025-07-02 00:00:00-04:00,620.45
SPY,SPDR S&P 500 ETF,2025-07-03 00:00:00-04:00,625.34
SPY,SPDR S&P 500 ETF,2025-07-07 00:00:00-04:00,620.68
SPY,SPDR S&P 500 ETF,2025-07-08 00:00:00-04:00,620.34
SPY,SPDR S&P 500 ETF,2025-07-09 00:00:00-04:00,624.06
SPY,SPDR S&P 500 ETF,2025-07-10 00:00:00-04:00,625.82
SPY,SPDR S&P 500 ETF,2025-07-11 00:00:00-04:00,623.62
SPY,SPDR S&P 500 ETF,2025-07-14 00:00:00-04:00,624.81
SPY,SPDR S&P 500 ETF,2025-07-15 00:00:00-04:00,622.14
SPY,SPDR S&P 500 ETF,2025-07-16 00:00:00-04:00,624.22
SPY,SPDR S&P 500 ETF,2025-07-17 00:00:00-04:00,628.04
SPY,SPDR S&P 500 ETF,2025-07-18 00:00:00-04:00,627.58
SPY,SPDR S&P 500 ETF,2025-07-21 00:00:00-04:00,628.77
SPY,SPDR S&P 500 ETF,2025-07-22 00:00:00-04:00,628.86
SPY,SPDR S&P 500 ETF,2025-07-23 00:00:00-04:00,634.21
SPY,SPDR S&P 500 ETF,2025-07-24 00:00:00-04:00,634.42
SPY,SPDR S&P 500 ETF,2025-07-25 00:00:00-04:00,637.10
SPY,SPDR S&P 500 ETF,2025-07-28 00:00:00-04:00,636.94
SPY,SPDR S&P 500 ETF,2025-07-29 00:00:00-04:00,635.26
SPY,SPDR S&P 500 ETF,2025-07-30 00:00:00-04:00,634.46
SPY,SPDR S&P 500 ETF,2025-07-31 00:00:00-04:00,632.08
SPY,SPDR S&P 500 ETF,2025-08-01 00:00:00-04:00,621.72
QQQ,Invesco QQQ Trust,2024-08-02 00:00:00-04:00,446.23
QQQ,Invesco QQQ Trust,2024-08-05 00:00:00-04:00,432.93
QQQ,Invesco QQQ Trust,2024-08-06 00:00:00-04:00,437.06
QQQ,Invesco QQQ Trust,2024-08-07 00:00:00-04:00,432.33
QQQ,Invesco QQQ Trust,2024-08-08 00:00:00-04:00,445.56
QQQ,Invesco QQQ Trust,2024-08-09 00:00:00-04:00,447.88
QQQ,Invesco QQQ Trust,2024-08-12 00:00:00-04:00,448.85
QQQ,Invesco QQQ Trust,2024-08-13 00:00:00-04:00,459.98
QQQ,Invesco QQQ Trust,2024-08-14 00:00:00-04:00,460.13
QQQ,Invesco QQQ Trust,2024-08-15 00:00:00-04:00,471.76
QQQ,Invesco QQQ Trust,2024-08-16 00:00:00-04:00,472.36
QQQ,Invesco QQQ Trust,2024-08-19 00:00:00-04:00,478.57
QQQ,Invesco QQQ Trust,2024-08-20 00:00:00-04:00,477.56
QQQ,Invesco QQQ Trust,2024-08-21 00:00:00-04:00,479.79
QQQ,Invesco QQQ Trust,2024-08-22 00:00:00-04:00,472.19
QQQ,Invesco QQQ Trust,2024-08-23 00:00:00-04:00,477.31
QQQ,Invesco QQQ Trust,2024-08-26 00:00:00-04:00,472.67
QQQ,Invesco QQQ Trust,2024-08-27 00:00:00-04:00,474.08
QQQ,Invesco QQQ Trust,2024-08-28 00:00:00-04:00,468.70
QQQ,Invesco QQQ Trust,2024-08-29 00:00:00-04:00,468.02
QQQ,Invesco QQQ Trust,2024-08-30 00:00:00-04:00,473.60
QQQ,Invesco QQQ Trust,2024-09-03 00:00:00-04:00,459.22
QQQ,Invesco QQQ Trust,2024-09-04 00:00:00-04:00,458.02
